entrada,pessoas,umidade,temperatura,resposta
680,0,63.0,29.3,67.51162394134032
681,0,63.0,29.3,67.51162394134032
682,0,63.0,29.3,67.51162394134032
683,0,63.0,29.3,67.51162394134032
684,0,63.0,29.3,67.51162394134032
685,0,63.0,29.3,67.51162394134032
686,0,63.0,29.3,67.51162394134032
687,0,63.0,29.3,67.51162394134032
688,0,63.0,29.3,67.51162394134032
689,0,63.0,29.3,67.51162394134032
690,0,63.0,29.3,67.51162394134032
691,0,63.0,29.3,67.51162394134032
692,0,63.0,29.3,67.51162394134032
693,0,63.0,29.3,67.51162394134032
694,0,63.0,29.3,67.51162394134032
695,0,63.0,29.3,67.51162394134032
696,0,63.0,29.3,67.51162394134032
697,0,63.0,29.3,67.51162394134032
698,0,63.0,29.3,67.51162394134032
699,0,63.0,29.3,67.51162394134032
700,0,63.0,29.3,67.51162394134032
701,0,63.0,29.3,67.51162394134032
702,0,63.0,29.3,67.51162394134032
703,0,63.0,29.3,67.51162394134032
704,0,63.0,29.3,67.51162394134032
705,0,63.0,29.3,67.51162394134032
706,0,63.0,29.3,67.51162394134032
707,0,63.0,29.3,67.51162394134032
708,0,63.0,29.3,67.51162394134032
709,0,63.0,29.3,67.51162394134032
710,0,63.0,29.3,67.51162394134032
711,0,63.0,29.3,67.51162394134032
712,0,63.0,29.3,67.51162394134032
713,0,63.0,29.3,67.51162394134032
714,0,63.0,29.3,67.51162394134032
715,0,63.0,29.3,67.51162394134032
716,0,63.0,29.3,67.51162394134032
717,0,63.0,29.3,67.51162394134032
718,0,63.0,29.3,67.51162394134032
719,0,63.0,29.3,67.51162394134032
720,1,63.0,29.3,50.00000000000002
721,1,63.0,29.3,50.00000000000002
722,1,63.0,29.3,50.00000000000002
723,1,63.0,29.3,50.00000000000002
724,1,63.0,29.3,50.00000000000002
725,1,63.0,29.3,50.00000000000002
726,1,63.0,29.3,50.00000000000002
727,1,63.0,29.3,50.00000000000002
728,1,63.0,29.3,50.00000000000002
729,1,63.0,29.3,50.00000000000002
730,1,63.0,29.3,50.00000000000002
731,1,63.0,29.3,50.00000000000002
732,1,63.0,29.3,50.00000000000002
733,1,63.0,29.3,50.00000000000002
734,1,63.0,29.3,50.00000000000002
735,2,64.0,29.3,50.00000000000002
736,2,64.0,29.3,50.00000000000002
737,2,64.0,29.3,50.00000000000002
738,2,64.0,29.3,50.00000000000002
739,2,64.0,29.3,50.00000000000002
740,2,64.0,29.3,50.00000000000002
741,2,64.0,29.3,50.00000000000002
742,2,64.0,29.3,50.00000000000002
743,2,64.0,29.3,50.00000000000002
744,2,64.0,29.3,50.00000000000002
745,2,64.0,29.3,50.00000000000002
746,2,64.0,29.3,50.00000000000002
747,2,64.0,29.3,50.00000000000002
748,2,64.0,29.3,50.00000000000002
749,2,64.0,29.3,50.00000000000002
750,2,64.0,29.3,50.00000000000002
751,2,64.0,29.3,50.00000000000002
752,2,64.0,29.3,50.00000000000002
753,2,64.0,29.3,50.00000000000002
754,2,64.0,29.3,50.00000000000002
755,2,64.0,29.3,50.00000000000002
756,2,64.0,29.3,50.00000000000002
757,2,64.0,29.3,50.00000000000002
758,2,64.0,29.3,50.00000000000002
759,2,64.0,29.3,50.00000000000002
760,2,64.0,29.3,50.00000000000002
761,2,64.0,29.3,50.00000000000002
762,2,64.0,29.3,50.00000000000002
763,2,64.0,29.3,50.00000000000002
764,2,64.0,29.3,50.00000000000002
765,2,64.0,29.3,50.00000000000002
766,2,64.0,29.3,50.00000000000002
767,2,64.0,29.3,50.00000000000002
768,2,64.0,29.3,50.00000000000002
769,2,64.0,29.3,50.00000000000002
770,2,64.0,29.3,50.00000000000002
771,2,64.0,29.3,50.00000000000002
772,2,64.0,29.3,50.00000000000002
773,2,64.0,29.3,50.00000000000002
774,2,64.0,29.3,50.00000000000002
775,2,64.0,29.3,50.00000000000002
776,2,64.0,29.3,50.00000000000002
777,2,64.0,29.3,50.00000000000002
778,2,64.0,29.3,50.00000000000002
779,2,64.0,29.3,50.00000000000002
780,2,64.0,29.3,50.00000000000002
781,2,64.0,29.3,50.00000000000002
782,2,64.0,29.3,50.00000000000002
783,2,64.0,29.3,50.00000000000002
784,2,64.0,29.3,50.00000000000002
